"title","type","year","author"
"Zombivli","Film",2022,"Aditya Sarpotdar"
"Zombie Reddy","Film",2021,"Prasanth Varma"
"Kingdom: Ashin of the North","Film",2021,"Kim Sung-hoon"
"Dead Again","Film",2021,"Steven M. Smith"
"Army of the Dead","Film",2021,"Zack Snyder"
"Day of the Dead","TV Show",2021,"Jed Elinoff, Scott Thomas"
"G - Zombie","Film",2021,"Aryan Gowra, Deepu"
"Savage Creatures","Film",2020,"Richard Lowry"
"#Alive","Film",2020,"Il Cho"
"Train to Busan 2: Peninsula","Film",2020,"Yeon Sang-ho"
"Daybreak","TV Show",2020,"Aron Eli Coleite"
"Zombie Child","Film",2020,"Bertrand Bonello"
"Dead Earth","Film",2020,"Wych Kaosayananda"
"Zombies and Indians","Film",2019,"Keith Lawrence"
"Zombi Child","Film",2019,"Bertrand Bonello"
"Little Monsters","Film",2019,"Abe Forsyth"
"Johnny Z","Film",2019,"Jonathan Straiton"
"Kingdom","TV Show",2019,NA
"The Dead Don't Die","Film",2019,"Jim Jarmusch"
"World War Z 2","Film",2019,"David Fincher"
"Zombieland: Double Tap","Film",2019,"Ruben Fleischer"
"Zombie","Film",2019," Tony Newton, Jason Impey"
"Zombie","Film",2019,"Bhuvan Nullan R."
"Rise of the Living Dead","Film",2019,"George C. Romero"
"The Beginning: Feel the Dead","TV Show",2019,"John Real"
"Black Summer","TV Show",2019,"Karl Schaefer, John Hyams"
"Fear the Walking Dead #5","TV Show",2019,"Robert Kirkman"
"iZombie #5","TV Show",2019,"Rob Thomas, Diane Ruggiero-Wright"
"The Walking Dead #10","TV Show",2019,"Robert Kirkman, Frank Darabont"
"The Death Don't Die","Film",2019,"Jim Jarmusch"
"Zombie with a Shotgun","Film",2019,"Hilton Ariel Ruiz"
"Reuni Z","Film",2018,"Soleh Solihun, Monty Tiwa"
"La nuit a dévoré le monde","Film",2018,"Dominique Rocher"
"Chang-gwol/Rampant","Film",2018,"Kim Sung-hoon"
"Dread the Walking Dead","TV Show",2018,NA
"Operation Ragnarök","Film",2018,"Fredik Hiller"
"Patient Zero","Film",2018,"Stefan Ruzowitztky"
"Redcon-1","Film",2018,"Chee Keong Cheung"
"Day of the Dead: Bloodline","Film",2018,"Hector Hernandez Vicens"
"Feral","Film",2018,"Mark Young"
"The Last Ones","Film",2018,"Andrew Jara"
"Zombies","Film",2018,"Paul Hoen"
"Attack of the Southern Fried Zombies","Film",2018,"Mark Newton"
"Maze Runner: The Death Cure","Film",2018,"Wes Ball"
"Overlord","Film",2018,"Julius Avery"
"Anna and the Apocalypse","Film",2018,"John McPhail"
"Fear the Walking Dead #4","TV Show",2018,"Robert Kirkman"
"iZombie #4","TV Show",2018,"Rob Thomas, Diane Ruggiero-Wright"
